"TIME_STEP","P_Event","Turbidity","Verified_OW_Event_Alarm","Ver_Alarm_Start","Ver_Alarm_End","CANARYTurb_Alarm_Start","CANARYTurb_Alarm_End","FULL_MATCH","PARTIAL_MATCH"
"0",0,0,0,0,0,0,0,999,"999"
"2024-10-06 13:45:00",0,3.2,0,0,0,0,0,999,"999"
"2024-10-06 14:00:00",0,3.2,0,0,0,0,0,999,"999"
"2024-10-06 14:15:00",0,3.2,0,0,0,0,0,999,"999"
"2024-10-06 14:30:00",0,3.2,0,0,0,0,0,999,"999"
"2024-10-06 14:45:00",0,2.8,0,0,0,0,0,999,"999"
"2024-10-06 15:00:00",0,2.9,0,0,0,0,0,999,"999"
"2024-10-06 15:15:00",0,3.2,0,0,0,0,0,999,"999"
"2024-10-06 15:30:00",0,3.3,0,0,0,0,0,999,"999"
"2024-10-06 15:45:00",0,3.5,0,0,0,0,0,999,"999"
"2024-10-06 16:00:00",0,3.2,0,0,0,0,0,999,"999"
"2024-10-06 16:15:00",0,3.2,0,0,0,0,0,999,"999"
"2024-10-06 16:30:00",0,3.1,0,0,0,0,0,999,"999"
"2024-10-06 16:45:00",0,3.5,0,0,0,0,0,999,"999"
"2024-10-06 17:00:00",0,3.4,0,0,0,0,0,999,"999"
"2024-10-06 17:15:00",0,2.9,0,0,0,0,0,999,"999"
"2024-10-06 17:30:00",0,3,0,0,0,0,0,999,"999"
"2024-10-06 17:45:00",0,2.9,0,0,0,0,0,999,"999"
"2024-10-06 18:00:00",0,3.1,0,0,0,0,0,999,"999"
"2024-10-06 18:15:00",0,3.1,0,0,0,0,0,999,"999"
"2024-10-06 18:30:00",0,2.7,0,0,0,0,0,999,"999"
"2024-10-06 18:45:00",0,3.1,0,0,0,0,0,999,"999"
"2024-10-06 19:00:00",0,2.8,0,0,0,0,0,999,"999"
"2024-10-06 19:15:00",0,2.9,0,0,0,0,0,999,"999"
"2024-10-06 19:30:00",0,2.5,0,0,0,0,0,999,"999"
"2024-10-06 19:45:00",0,2.8,0,0,0,0,0,999,"999"
"2024-10-06 20:00:00",0,2.6,0,0,0,0,0,999,"999"
"2024-10-06 20:15:00",0,2.8,0,0,0,0,0,999,"999"
"2024-10-06 20:30:00",0,2.8,0,0,0,0,0,999,"999"
"2024-10-06 20:45:00",0,2.8,0,0,0,0,0,999,"999"
"2024-10-06 21:00:00",0,2.7,0,0,0,0,0,999,"999"
"2024-10-06 21:15:00",0,3,0,0,0,0,0,999,"999"
"2024-10-06 21:30:00",0,2.7,0,0,0,0,0,999,"999"
"2024-10-06 21:45:00",0,2.7,0,0,0,0,0,999,"999"
"2024-10-06 22:00:00",0,2.6,0,0,0,0,0,999,"999"
